,P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_UPDATE,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_MASS_LIMIT,P_MASS_ORIGIN,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_RADIUS_LIMIT,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_PERIOD_LIMIT,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_SEMI_MAJOR_AXIS_LIMIT,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_ECCENTRICITY_LIMIT,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_INCLINATION_LIMIT,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_OMEGA_LIMIT,S_NAME,S_NAME_HD,S_NAME_HIP,S_TYPE,S_RA,S_DEC,S_RA_STR,S_DEC_STR,S_MAG,S_MAG_ERROR_MIN,S_MAG_ERROR_MAX,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_TEMPERATURE_LIMIT,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_MASS_LIMIT,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_RADIUS_LIMIT,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_METALLICITY_LIMIT,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_AGE_LIMIT,S_LOG_LUM,S_LOG_LUM_ERROR_MIN,S_LOG_LUM_ERROR_MAX,S_LOG_LUM_LIMIT,S_LOG_G,S_LOG_G_ERROR_MIN,S_LOG_G_ERROR_MAX,S_LOG_G_LIMIT,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TEMP_SURF,P_TEMP_SURF_MIN,P_TEMP_SURF_MAX,P_TYPE,S_TYPE_TEMP,S_RA_TXT,S_DEC_TXT,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
124,K2-288 B b,Transit,K2,2018,9/5/2019,4.27,,,0,M-R relationship,1.9,-0.3,0.3,0,31.393463,-6.9e-05,6.7e-05,0,0.164,-0.03,0.03,0,,,,0,89.81,-0.17,0.13,0,,,,0,K2-288 B,,,M3 V,55.444286,18.268491,03h41m46.63s,+18d16m06.57s,13.868,,0.12,65.6138,-0.8594,0.8821,3341.0,-276.0,276.0,0,0.33,-0.02,0.02,0,0.32,-0.03,0.03,0,-0.21,-0.09,0.09,0,1.0,,,-1,-1.93,-0.02,0.02,0,4.96,-0.02,0.02,-1,1.4991226,2.2473684,1.1828255,0.62253973,0.003851238,0.164,0.164,0.164,0.164,0.43682985,0.43682985,0.43682985,207.0989,207.0989,207.0989,233.88566,233.88566,233.88566,Superterran,M,03 41 46.63,+18 16 06.57,0.011748976,0.088817374,0.23228353,0.1124995,0.22022058,0.11928917,0.22022058,0.10858806,0.22022058,0.29266027,0.021302576,0.24720816,1,1,Warm,2,0.64648814,Taurus,Tau,Bull
125,K2-239 d,Transit,K2,2018,6/26/2018,1.37,,,0,M-R relationship,1.1,-0.1,0.1,0,10.115,-0.001,0.001,0,0.0685,-0.0012,0.0012,0,,,,0,89.43,-0.45,0.38,0,,,,0,K2-239,,,M3.0 V,160.59413,4.4413751,10h42m22.59s,+04d26m28.95s,14.632,-0.126,0.126,31.0849,-0.0826,0.0831,3420.0,-18.0,18.0,0,0.4,-0.01,0.01,0,0.36,-0.01,0.01,0,-0.1,-0.1,0.1,0,,,,0,-1.796,-0.028,0.026,0,4.9,-0.1,0.1,0,1.1159993,1.2454545,1.1322314,1.0293013,0.001032831,0.0685,0.0685,0.0685,0.0685,3.4089361,3.4089361,3.4089361,346.1421,346.1421,346.1421,390.91311,390.91311,390.91311,Terran,M,10 42 22.59,+04 26 28.95,0.01599558,0.10354201,0.26975169,0.1311506,0.2557435,0.1390543,0.2557435,0.12659293,0.2557435,0.34147881,0.026015017,0.33991562,0,0,Hot,0,0.61218941,Sextans,Sex,Sextant
126,TOI-237 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,8/8/2022,2.67,,,0,M-R relationship,1.44,-0.12,0.12,0,5.436098,-3.9e-05,3.9e-05,0,0.0341,-0.001,0.001,0,0.0,,,0,89.5,-0.6,0.4,0,,,,0,TOI-237,,,M4.5 V,353.24354,-29.416487,23h32m58.45s,-29d24m59.35s,16.37,-0.2,0.2,38.0749,-0.2265,0.2292,3212.0,-100.0,100.0,0,0.18,0.0,0.0,0,0.21,-0.01,0.01,0,,,,0,4.5,,,-1,-2.387,-0.011,0.01,0,5.04,-0.07,0.07,-1,1.3616779,1.8541667,1.2876157,0.8941776,0.000838081,0.0341,0.0341,0.0341,0.0341,3.5276967,3.5276967,3.5276967,349.11822,349.11822,349.11822,394.27417,394.27417,394.27417,Terran,M,23 32 58.45,-29 24 59.35,0.004102041,0.052550576,0.13829013,0.066562293,0.13110793,0.07058877,0.13110793,0.064246083,0.13110793,0.17292738,0.013945553,0.25952812,0,0,Hot,0,0.58515767,Sculptor,Scl,Sculptor
127,HIP 41378 d,Transit,K2,2016,1/18/2023,14.9,,,0,M-R relationship,3.96,-0.59,0.59,0,1114.0,,,1,2.2156186,,,0,0.0,,,0,89.93,-0.018,0.025,0,,,,0,HIP 41378,,HIP 41378,F6,126.61583,10.080371,08h26m27.80s,+10d04m49.33s,8.93,-0.03,0.03,106.289,-0.668,0.676,6226.0,-43.0,43.0,0,1.17,-0.07,0.07,0,1.34,-0.03,0.03,0,-0.11,-0.08,0.08,0,4.279,-0.931,0.931,0,0.396,-0.004,0.004,0,4.2,-0.03,0.03,0,1.939749,3.7626263,0.95015815,0.23993893,0.051754374,2.2156186,2.2156186,2.2156186,2.2156186,0.50700237,0.50700237,0.50700237,214.9573,214.9573,214.9573,,242.7605,242.7605,Neptunian,F,08 26 27.80,+10 04 49.33,2.4888573,1.1521244,2.6868059,1.4592902,2.5473368,1.5425405,2.5473368,1.4085651,2.5473368,4.2595504,4.6153689,0.4802977,1,1,Warm,0,0.51877311,Cancer,Cnc,Crab
128,K2-72 c,Transit,K2,2016,12/12/2017,1.65,,,0,M-R relationship,1.16,-0.13,0.13,0,15.189034,-0.003149,0.003128,0,0.078,-0.01,0.007,0,0.11,-0.091536,0.20197,0,89.54,-0.44,0.32,0,16.83,-137.5786,112.5906,0,K2-72,,,,334.62275,-9.6120084,22h18m29.46s,-09d36m43.23s,15.37,-0.126,0.126,66.4321,-0.1991,0.2003,3360.47,-86.34,87.24,0,0.27,-0.09,0.08,0,0.33,-0.03,0.03,0,,,,0,,,,0,-1.837,-0.12,0.094,0,5.05,-0.07,0.07,0,1.1926499,1.4224138,1.2262188,1.0570852,0.001269531,0.0784719,0.06942,0.08658,0.078118446,2.4068792,1.9416227,3.0201658,316.5723,300.70519,335.82066,357.51867,339.59926,379.25666,Terran,M,22 18 29.46,-09 36 43.23,0.014554591,0.098833968,0.25823549,0.12518698,0.24482494,0.13273967,0.24482494,0.12083495,0.24482494,0.3257345,0.020601981,0.29817579,0,0,Hot,0,0.70333797,Aquarius,Aqr,Water Carrier
129,Kepler-22 b,Transit,Kepler,2011,4/17/2023,9.1,,,1,Mass,2.1,-0.12,0.12,0,289.86388,-1.3e-05,1.3e-05,0,0.812,-0.013,0.011,0,0.72,,,1,89.764,-0.042,0.025,0,,,,0,Kepler-22,,,G5 V,289.21721,47.884143,19h16m52.13s,+47d53m02.91s,11.751,-0.057,0.057,194.642,-0.918,0.927,5596.0,-61.0,61.0,0,0.86,-0.04,0.05,0,0.87,-0.01,0.01,0,-0.255,-0.065,0.065,0,7.0,-4.2,4.0,0,-0.19,-0.012,0.01,0,4.44,-0.03,0.03,0,2.081666,4.3333333,2.0634921,0.98261527,0.004992832,1.0224704,0.22736,1.39664,0.87673059,1.4110575,0.33100233,12.490272,243.87463,193.2224,478.89762,275.41808,218.21434,540.83961,Superterran,G,19 16 52.13,+47 53 02.91,0.64565423,0.60956605,1.4434957,0.77209475,1.368565,0.816584,1.368565,0.74532824,1.368565,2.1695205,1.4112034,0.47051557,1,1,Warm,2,0.7216326,Cygnus,Cyg,Swan
130,Proxima Cen b,Radial Velocity,European Southern Observatory,2016,5/15/2023,1.07,-0.06,0.06,0,Msini,1.03,,,0,11.1868,-0.0031,0.0029,0,0.04856,-0.0003,0.0003,0,0.02,-0.02,0.04,0,,,,0,3.3,-2.3,1.8,0,Proxima Cen,,HIP 70890,M5.5 V,217.39347,-62.676182,14h29m34.43s,-62d40m34.26s,11.01,-0.1,0.1,1.30119,-0.00035,0.00034,2900.0,-100.0,100.0,0,0.12,0.0,0.0,0,0.14,-0.02,0.02,0,,,,0,,,,0,-2.796,-0.204,0.138,0,5.16,-0.04,0.04,0,1.0192325,1.038835,1.0085776,0.97920158,0.000987092,0.048569712,0.0475888,0.0495312,0.048562428,0.67846824,0.65199205,0.70630209,231.1796,228.90764,233.5325,261.08103,258.51521,263.73826,Terran,M,14 29 34.43,-62 40 34.26,0.001599558,0.032919202,0.087887595,0.041696016,0.083322159,0.044230954,0.083322159,0.040242026,0.083322159,0.10798508,0.007127707,0.22755071,1,1,Warm,1,0.86414229,Centaurus,Cen,Centaur
131,Kepler-1318 b,Transit,Kepler,2016,4/16/2019,9.85,,,0,M-R relationship,3.11,-0.15,0.17,0,213.25766,-0.001051,0.001051,0,0.6085,,,0,0.0,,,0,89.99,,,0,,,,0,Kepler-1318,,,,290.37632,41.150793,19h21m30.32s,+41d09m02.85s,15.531,-0.16,0.16,475.248,-5.67,5.805,4598.0,-51.73,63.77,0,0.73,-0.04,0.03,0,0.7,-0.03,0.02,0,-0.01,-0.146,0.141,0,4.57,-2.61,5.85,0,-0.73,,,0,4.62,-0.03,0.02,0,1.7796636,3.1672026,1.0183931,0.32745759,0.014490508,0.6085,0.6085,0.6085,0.6085,0.50289676,0.50289676,0.50289676,214.52081,214.52081,214.52081,,242.26754,242.26754,Neptunian,K,19 21 30.32,+41 09 02.85,0.18620871,0.34385732,0.84573473,0.43554852,0.8018307,0.46115042,0.8018307,0.42047723,0.8018307,1.1651015,0.24056847,0.41493986,1,1,Warm,0,0.56816352,Lyra,Lyr,Lyre
132,Kepler-26 e,Transit,Kepler,2014,9/25/2018,6.39,,,0,M-R relationship,2.41,-0.15,0.15,0,46.827915,-0.000173,0.000173,0,0.22,,,0,0.0,,,0,89.87,,,0,,,,0,Kepler-26,,,M0 V,284.94106,46.566451,18h59m45.86s,+46d33m59.22s,15.853,-0.035,0.035,335.307,-3.0565,3.0565,4486.0,-116.0,116.0,0,0.62,-0.03,0.02,0,0.57,-0.03,0.03,0,-0.05,-0.111,0.08,0,2.95,-1.41,4.08,0,-1.06,-0.059,0.052,0,4.73,-0.2,0.2,0,1.6283281,2.6514523,1.1001877,0.45650941,0.004788994,0.22,0.22,0.22,0.22,1.7995115,1.7995115,1.7995115,295.04507,295.04507,295.04507,333.20705,333.20705,333.20705,Superterran,M,18 59 45.86,+46 33 59.22,0.087096359,0.23611996,0.58374107,0.29908274,0.55343725,0.31670615,0.55343725,0.28873257,0.55343725,0.79682649,0.18794456,0.3653079,0,0,Hot,0,0.64465847,Lyra,Lyr,Lyre
133,K2-3 d,Transit,K2,2015,7/10/2023,2.2,,,1,Mass,1.458,-0.051,0.056,0,44.55603,-0.00012,0.00013,0,0.2014,-0.0033,0.0034,0,0.091,-0.064,0.12,0,89.82,-0.11,0.12,0,0.0,-150.0,140.0,0,K2-3,,,M V,172.33537,-1.4551364,11h29m20.49s,-01d27m18.49s,12.168,-0.009,0.009,44.0727,-0.10815,0.10815,3844.0,-63.0,61.0,0,0.55,-0.03,0.03,0,0.55,-0.02,0.02,0,-0.157,-0.08,0.075,0,6.9,-4.7,4.7,0,-1.231,-0.014,0.013,0,4.7,-0.03,0.02,0,1.2283796,1.5089163,1.034922,0.70982307,0.00290689,0.2022339,0.1830726,0.2197274,0.20160904,1.4544097,1.2168346,1.7528845,279.31529,267.55163,293.11499,315.44273,302.15752,331.02733,Terran,M,11 29 20.49,-01 27 18.49,0.058748935,0.19721117,0.5030609,0.2497981,0.47694149,0.26472451,0.47694149,0.24113721,0.47694149,0.65443085,0.059934797,0.40440878,1,0,Warm,1,0.81426382,Leo,Leo,Lion
134,Kepler-61 b,Transit,Kepler,2013,4/16/2019,5.27,,,0,M-R relationship,2.15,-0.13,0.13,0,59.87756,-0.0002,0.0002,0,0.24861,-0.00964,0.00964,0,0.25,,,1,89.8,,,-1,,,,0,Kepler-61,,,K7 V,295.30449,42.475319,19h41m13.08s,+42d28m31.15s,15.277,-0.069,0.069,335.079,-4.858,5.0,4017.0,-150.0,68.0,0,0.64,-0.04,0.04,0,0.62,-0.05,0.02,0,0.03,-0.14,0.14,0,1.0,,,-1,-0.971,-0.056,0.05,0,4.67,-0.02,0.02,-1,1.565619,2.4511628,1.1400757,0.53026778,0.003766246,0.25637906,0.1864575,0.3107625,0.25059331,1.7863937,1.1069877,3.0749658,290.98123,261.29759,337.33374,328.61757,295.09457,380.96545,Superterran,K,19 41 13.08,+42 28 31.15,0.10690549,0.26509619,0.6704122,0.3357855,0.63560557,0.35577597,0.63560557,0.32415166,0.63560557,0.88280293,0.084858733,0.30828436,0,0,Hot,0,0.6737067,Cygnus,Cyg,Swan
135,K2-316 c,Transit,K2,2020,9/9/2020,4.01,,,0,M-R relationship,1.83,-0.12,0.13,0,5.26,-0.007,0.007,0,0.0582,-0.0122,0.0081,0,,,,0,89.31,-1.06,0.49,0,,,,0,K2-316,,,,233.62473,-23.259466,15h34m29.94s,-23d15m34.08s,17.14,-0.2,0.2,112.486,-0.952,0.968,3436.0,-3.0,3.0,0,0.41,-0.01,0.01,0,0.38,0.0,0.0,0,,,,0,,,,0,-1.83,-0.124,0.096,0,4.89,0.0,0.0,0,1.4802894,2.1912568,1.1974081,0.65432137,0.001244978,0.0582,0.0582,0.0582,0.0582,4.3667068,4.3667068,4.3667068,368.24615,368.24615,368.24615,415.87616,415.87616,415.87616,Superterran,M,15 34 29.94,-23 15 34.08,0.014791084,0.099548813,0.25914508,0.12609271,0.2456878,0.1336893,0.2456878,0.12171124,0.2456878,0.32837022,0.026961039,0.34272497,0,0,Hot,0,0.51032552,Libra,Lib,Scales
136,Kepler-174 d,Transit,Kepler,2014,4/16/2019,5.43,,,0,M-R relationship,2.19,-0.13,0.13,0,247.35373,-0.002001,0.002001,0,0.677,,,0,0.0,,,0,89.99,,,0,,,,0,Kepler-174,,,,287.43895,43.832005,19h09m45.35s,+43d49m55.22s,14.53,-0.057,0.057,384.757,-2.684,2.684,4880.0,-126.0,126.0,0,0.6,-0.02,0.02,0,0.62,-0.03,0.03,0,-0.44,-0.1,0.1,0,4.9,-3.14,5.26,0,-0.57,,,0,4.68,-0.15,0.15,0,1.5746276,2.4794521,1.1321699,0.51697255,0.01411205,0.677,0.677,0.677,0.677,0.58724951,0.58724951,0.58724951,223.00026,223.00026,223.00026,251.84376,251.84376,251.84376,Superterran,K,19 09 45.35,+43 49 55.22,0.26915348,0.40862361,0.99278569,0.51758318,0.94124942,0.54782394,0.94124942,0.49967219,0.94124942,1.4007601,0.3658082,0.39322513,1,1,Warm,2,0.67845615,Lyra,Lyr,Lyre
137,Kepler-1661 b,Transit,Kepler,2020,2/21/2020,17.0,-12.0,12.0,0,Mass,3.87,-0.06,0.06,0,175.06,-0.06,0.06,0,0.633,-0.005,0.005,0,0.057,-0.005,0.005,0,89.46,-0.02,0.02,0,67.1,-5.0,5.0,0,Kepler-1661,,,K,285.16709,41.966938,19h00m40.10s,+41d58m00.98s,14.357,-0.092,0.092,410.607,-2.8825,2.8825,5100.0,-100.0,100.0,0,0.84,-0.02,0.02,0,0.76,-0.01,0.01,0,-0.12,-0.1,0.1,0,2.0,-1.0,1.0,0,-0.513,-0.009,0.009,0,4.66,-0.1,0.1,0,2.0958924,4.3927649,1.1350814,0.29330268,0.01627136,0.63402831,0.596919,0.669081,0.63325735,0.76718348,0.68555548,0.86132925,238.26464,231.79836,245.40986,,261.77982,277.15187,Neptunian,K,19 00 40.10,+41 58 00.98,0.3069022,0.43180366,1.0399373,0.546942,0.98595414,0.57875384,0.98595414,0.52800882,0.98595414,1.4957664,0.59718478,0.37886946,1,1,Warm,0,0.57300033,Lyra,Lyr,Lyre
138,GJ 887 c,Radial Velocity,La Silla Observatory,2020,7/2/2020,7.6,-1.2,1.2,0,Msini,2.67,,,0,21.789,-0.005,0.004,0,0.12,-0.004,0.004,0,,,,0,,,,0,,,,0,GJ 887,HD 217987,HIP 114046,M1 V,346.46683,-35.853069,23h05m52.04s,-35d51m11.0s,7.56,-0.2,0.2,3.29,-0.01,0.01,3688.0,-86.0,86.0,0,0.49,-0.05,0.05,0,0.47,-0.09,0.09,0,-0.06,-0.08,0.08,0,2.88,-2.88,3.85,0,-1.434,-0.05,0.045,0,4.78,,,0,1.6871402,2.8464419,1.0660831,0.39928207,0.002993452,0.12,0.12,0.12,0.12,2.5564512,2.5564512,2.5564512,322.11362,322.11362,322.11362,363.77672,363.77672,363.77672,Superterran,M,23 05 52.04,-35 51 11.00,0.036812897,0.15652104,0.40239447,0.19825731,0.38150059,0.21014237,0.38150059,0.19137815,0.38150059,0.51804056,0.044112577,0.33639971,0,0,Hot,0,0.55357397,Piscis Austrinus,PsA,Southern Fish
139,Kepler-1582 b,Transit,Kepler,2016,4/16/2019,2.83,,,0,M-R relationship,1.49,-0.14,0.17,0,4.8381771,-8.84e-05,8.84e-05,0,0.0316,,,0,0.0,,,0,89.98,,,0,,,,0,Kepler-1582,,,,289.37654,41.158085,19h17m30.37s,+41d09m29.10s,17.96,-0.2,0.2,78.8906,-0.4372,0.4421,3208.0,-23.86,24.62,0,0.28,-0.03,0.03,0,0.3,-0.03,0.02,0,0.48,-0.026,0.011,0,7.76,-5.06,4.71,0,-2.389,-0.132,0.101,0,4.93,-0.02,0.03,0,1.3781614,1.8993289,1.2747174,0.855515,0.000683411,0.0316,0.0316,0.0316,0.0316,4.0890821,4.0890821,4.0890821,362.24814,362.24814,362.24814,409.10236,409.10236,409.10236,Terran,M,19 17 30.37,+41 09 29.10,0.004083194,0.052431814,0.13800386,0.066411855,0.13083652,0.070429511,0.13083652,0.064100819,0.13083652,0.17252966,0.016047712,0.32929702,0,0,Hot,0,0.54879252,Lyra,Lyr,Lyre
140,Kepler-1634 b,Transit,Kepler,2016,9/25/2018,10.3,,,0,M-R relationship,3.19,-0.6,0.52,0,374.87624,-0.007107,0.007107,0,1.0525,,,0,0.0,,,0,89.84,,,0,,,,0,Kepler-1634,,,,294.0434,45.13982,19h36m10.42s,+45d08m23.35s,14.636,-0.126,0.126,617.339,-8.4325,8.4325,5474.0,-144.37,149.64,0,0.92,-0.05,0.05,0,0.89,-0.06,0.1,0,0.02,-0.162,0.147,0,4.47,-2.73,5.7,0,-0.265,,,0,4.51,-0.1,0.05,0,1.7968974,3.2288401,1.0121756,0.31729642,0.023551785,1.0525,1.0525,1.0525,1.0525,0.49040602,0.49040602,0.49040602,213.17617,213.17617,213.17617,,240.74899,240.74899,Neptunian,G,19 36 10.42,+45 08 23.35,0.54325033,0.56308647,1.3384487,0.71322457,1.2689707,0.75441135,1.2689707,0.68850978,1.2689707,1.990049,1.1703786,0.44655199,1,1,Warm,0,0.55835887,Cygnus,Cyg,Swan
141,Kepler-1635 b,Transit,Kepler,2016,9/25/2018,12.9,,,0,M-R relationship,3.64,-0.67,0.33,0,469.63111,-0.01246,0.01246,0,1.117,,,0,0.0,,,0,89.61,,,0,,,,0,Kepler-1635,,,,285.34905,45.556177,19h01m23.77s,+45d33m22.24s,15.82,-0.081,0.081,1069.45,-37.17,39.9,5347.0,-53.97,51.14,0,0.89,-0.04,0.04,0,0.85,-0.04,0.08,0,0.06,-0.158,0.161,0,4.9,-3.16,6.25,0,-0.28,,,0,4.53,-0.09,0.04,0,1.8825398,3.543956,0.9736143,0.26747646,0.027241958,1.117,1.117,1.117,1.117,0.42062362,0.42062362,0.42062362,205.15076,205.15076,205.15076,,231.68554,231.68554,Neptunian,G,19 01 23.77,+45 33 22.24,0.52480746,0.55738496,1.3304541,0.70600507,1.2613909,0.7468711,1.2613909,0.68155044,1.2613909,1.9559771,0.93061513,0.44845705,1,1,Warm,0,0.50500049,Lyra,Lyr,Lyre
142,Kepler-152 c,Transit,Kepler,2014,4/16/2019,6.3,,,0,M-R relationship,2.39,-0.16,0.16,0,88.255055,-0.000309,0.000309,0,0.356,,,0,0.0,,,0,89.37,,,0,,,,0,Kepler-152,,,,286.86538,41.988957,19h07m27.69s,+41d59m20.25s,14.379,-0.103,0.103,441.09,-3.137,3.137,5088.0,-100.0,100.0,0,0.83,-0.03,0.03,0,0.72,-0.04,0.04,0,-0.16,-0.1,0.087,0,2.0,-0.656,1.43,0,-0.465,,,0,4.61,-0.15,0.15,0,1.6235711,2.6359833,1.1029219,0.46147358,0.006998249,0.356,0.356,0.356,0.356,2.7045811,2.7045811,2.7045811,326.68163,326.68163,326.68163,368.93556,368.93556,368.93556,Superterran,K,19 07 27.69,+41 59 20.25,0.34276779,0.45661078,1.1001868,0.57836397,1.0430761,0.61201153,1.0430761,0.55834355,1.0430761,1.5807521,0.58266856,0.37736,0,0,Hot,0,0.56420082,Lyra,Lyr,Lyre
143,Kepler-1538 b,Transit,Kepler,2016,4/16/2019,8.35,,,0,M-R relationship,2.82,-0.31,0.7,0,175.13882,-0.002807,0.002807,0,0.6095,,,0,0.0,,,0,89.97,,,0,,,,0,Kepler-1538,,,,283.34561,45.274357,18h53m22.95s,+45d16m27.69s,15.551,-0.103,0.103,1125.3,-29.7,31.31,5837.0,-71.61,68.83,0,1.03,-0.06,0.05,0,1.03,-0.09,0.26,0,0.02,-0.167,0.137,0,4.37,-2.57,2.8,0,-0.085,,,0,4.42,-0.18,0.07,0,1.7207536,2.9609929,1.0499975,0.37233953,0.012247348,0.6095,0.6095,0.6095,0.6095,2.2133627,2.2133627,2.2133627,310.71545,310.71545,310.71545,,350.90428,350.90428,Neptunian,G,18 53 22.95,+45 16 27.69,0.82224265,0.67808677,1.5950968,0.85887956,1.5122968,0.90816856,1.5122968,0.8290756,1.5122968,2.4482951,2.2673417,0.46193849,0,0,Hot,0,0.57013031,Lyra,Lyr,Lyre
144,Kepler-1545 b,Transit,Kepler,2016,4/16/2019,7.75,,,0,M-R relationship,2.7,-0.18,0.22,0,163.69235,-0.001383,0.001383,0,0.5442,,,0,0.0,,,0,89.99,,,0,,,,0,Kepler-1545,,,,298.89883,47.46307,19h55m35.72s,+47d27m47.05s,15.256,-0.103,0.103,729.964,-12.9055,12.9055,5201.0,-84.36,136.42,0,0.84,-0.05,0.04,0,0.8,-0.05,0.05,0,-0.06,-0.165,0.144,0,4.47,-2.71,5.7,0,-0.277,,,0,4.57,-0.06,0.03,0,1.6942167,2.8703704,1.0631001,0.39374079,0.01141698,0.5442,0.5442,0.5442,0.5442,1.7843618,1.7843618,1.7843618,294.42212,294.42212,294.42212,,332.50352,332.50352,Neptunian,K,19 55 35.72,+47 27 47.05,0.52844525,0.56369831,1.352475,0.7140042,1.2822684,0.75544964,1.2822684,0.68928236,1.2822684,1.9627445,0.71034061,0.43321404,0,0,Hot,0,0.61890991,Cygnus,Cyg,Swan
145,Kepler-1552 b,Transit,Kepler,2016,4/16/2019,6.66,,,0,M-R relationship,2.47,-0.1,0.11,0,184.77185,-0.001546,0.001546,0,0.6045,,,0,0.0,,,0,89.98,,,0,,,,0,Kepler-1552,,,,291.67687,38.874915,19h26m42.45s,+38d52m29.69s,15.203,-0.057,0.057,769.096,-13.1565,13.1565,5202.0,-75.4,85.4,0,0.85,-0.04,0.03,0,0.78,-0.02,0.02,0,-0.07,-0.108,0.105,0,3.31,-1.56,2.23,0,-0.201,,,0,4.58,-0.01,0.01,0,1.6420585,2.6963563,1.0916422,0.44196041,0.012009732,0.6045,0.6045,0.6045,0.6045,1.722691,1.722691,1.722691,291.84453,291.84453,291.84453,329.59254,329.59254,329.59254,Superterran,K,19 26 42.45,+38 52 29.69,0.62950618,0.61521102,1.476015,0.77925236,1.3993954,0.82448434,1.3993954,0.75227129,1.3993954,2.1422185,0.71437455,0.4136844,0,0,Hot,0,0.64650474,Lyra,Lyr,Lyre
146,Kepler-560 b,Transit,Kepler,2016,4/16/2019,3.61,,,0,M-R relationship,1.72,-0.09,0.09,0,18.477644,-1.52e-05,1.517e-05,0,0.0899,-0.0062,0.0031,0,0.17,-0.04,0.07,0,89.606,-0.094,0.003,0,,,,0,Kepler-560,,,,300.20664,45.01824,20h00m49.59s,+45d01m05.66s,15.66,-0.2,0.2,109.308,-0.41,0.413,3556.0,-23.6,30.41,0,0.34,-0.02,0.02,0,0.33,-0.02,0.02,0,-0.39,-0.06,0.059,0,4.07,-2.5,6.02,0,-1.717,-0.075,0.082,0,4.94,-0.02,0.02,0,1.4487364,2.0988372,1.2202542,0.70945011,0.001640461,0.091199055,0.074617,0.105183,0.090227886,2.4090657,1.7342388,3.4460727,315.63076,292.33239,347.08098,356.45534,330.14349,391.97343,Superterran,M,20 00 49.59,+45 01 05.66,0.019186687,0.11321123,0.29297066,0.14339855,0.27775767,0.15201774,0.27775767,0.13841928,0.27775767,0.37399325,0.031129285,0.3154885,0,0,Hot,0,0.65293369,Cygnus,Cyg,Swan
147,Kepler-437 b,Transit,Kepler,2015,9/25/2018,5.22,,,0,M-R relationship,2.14,-0.17,0.22,0,66.65062,-0.00032,0.00033,0,0.288,-0.04,0.066,0,0.02,-0.02,0.08,-1,89.9,-0.23,0.1,0,,,,0,Kepler-437,,,,297.34733,44.026925,19h49m23.36s,+44d01m36.93s,14.628,-0.217,0.217,304.0,-8.898,8.124,4551.0,-100.0,100.0,0,0.71,-0.03,0.03,0,0.68,-0.02,0.03,0,0.0,-0.1,0.1,0,2.9,-0.3,7.5,0,-0.762,-0.059,0.08,0,4.63,-0.03,0.01,0,1.5618106,2.4392523,1.1398375,0.53263436,0.005489606,0.2880576,0.28224,0.29376,0.2880144,2.0859404,2.0045398,2.1715152,306.12064,303.11217,309.23627,345.71516,342.31757,349.23378,Superterran,K,19 49 23.36,+44 01 36.93,0.17298164,0.33199563,0.81830928,0.42052402,0.7758287,0.44526811,0.7758287,0.40597215,0.7758287,1.1229586,0.21986174,0.38110439,0,0,Hot,0,0.64247814,Cygnus,Cyg,Swan
